pid,rid,verb,verbstem,sentence,ISO3,object,objectcleanpp,objecttype,label1,label2,group
44557,25726,injuring,injur,"Suspected terrorists hurled a grenade towards a picket of 113 Battalion CRPF near the State Bank of India branch in the Main Chowk, Sopore injuring one CRPF personnel and two civilians.",IND,one CRPF personnel and two civilians,crpf personnel and civilians,person,civilian,,NA
11639,6476,killed,kill,"Meanwhile, two civilians were killed and eight others injured, when a bomb exploded in the Kanak Mandi area of Jammu city.",IND,two civilians,civilians,person,civilian,,NA
37720,22202,injured,injur,"Separately, suspected terrorists shot at and injured a civilian, Gulzar Ahmed Koka, in the Pulwama district.",IND,a civilian,civilian,person,civilian,,NA
10102,5298,attacked,attack,"In Srinagar, a civilian was attacked and killed by unidentified terrorists.",IND,a civilian,civilian,person,civilian,,NA
73405,38442,killed,kill,"An investigation by The Times (London) published on May 29 has revealed that more than 20,000 Tamil civilians were killed by Sri Lankan armed forces in the final stages of the war against the Liberation Tigers of Tamil Eelam (LTTE).",LKA,"more than 20,000 Tamil civilians",more tamil civilians,person,civilian,,NA
15747,9219,killed,kill,"Separately, terrorists at Gohan Wailoo village, in Kokernag, killed another civilian.",IND,another civilian,civilian,person,civilian,,NA
23048,13634,killed,kill,"Three civilians were killed by unidentified terrorists in separate incidents across the Jammu region on June 2 while Border Security Force (BSF) destroyed a terrorist hideout in Kalakote, Rajouri district, and effected recoveries of five Austrian-made grenades besides other arms and explosives.",IND,Three civilians,civilians,person,civilian,,NA
8964,4183,killed,kill,"Also, in Pulwama district, a civilian was attacked and killed by unidentified terrorists at Gadhpora.",IND,a civilian,civilian,person,civilian,,NA
31848,18970,injured,injur,"Meanwhile, three security men and a woman civilian were injured in a Maoist triggered landmine explosion at Pragatinagar of Nawalparasi district along the East-West highway on November 23.",NPL,three security men and a woman civilian,security men and woman civilian,person,civilian,,NA
36842,21761,injured,injur,"According to Sangai Express, two civilians were injured in a cross-fire between two factions of the Kuki National Front (KNF) on Rengkai Road in the Churachandpur district on August 8.;",IND,two civilians,civilians,person,civilian,,NA
72513,38059,killing,kill,"The military continued its operation inside the No Fire Zone in Mullaitivu District on April 29 killing several civilians, claimed the pro-Liberation Tigers of Tamil Eelam (LTTE) Website Tamil Net.",LKA,several civilians,several civilians,person,civilian,,NA
21423,12506,killed,kill,"In another incident, another group of unidentified terrorists killed a civilian near Gandhi Memorial College in Fateh Kadal area, Srinagar, on the same day.",IND,a civilian near Gandhi Memorial College,civilian gandhi memorial college,person,civilian,,NA
61846,33450,killed,kill,"A civilian was killed and his associate sustained injuries in a remote-controlled bomb blast in the Mamirogha Manzar village in North Waziristan on May 18, Daily Times reported.",PAK,A civilian,civilian,person,civilian,,NA
27870,16769,killed,kill,"Elsewhere in the State, a group of unidentified terrorists are reported to have abducted and later killed a civilian in the Arthred forest area of Anantnag district.",IND,a civilian,civilian,person,civilian,,NA
87050,44973,killed,kill,"Replying to a question in the assembly, Chief Minister Naveen Patnaik said on July 19 that at least 48 civilians were killed in Maoist-related violence in Orissa while 302 Maoists were arrested in 2009 and 2010 (upto July 7, 2010), reports PTI.",IND,at least 48 civilians,least civilians,person,civilian,,NA
5799,2602,injured,injur,One civilian was injured during the encounter.,IND,One civilian,civilian,person,civilian,,NA
17047,9982,killed,kill,"Besides, a civilian, resident of Charsu, was killed during an encounter between SFs and unidentified terrorists in the same area in south Kashmir.",IND,"a civilian , resident of Charsu ,",civilian resident,person,civilian,,NA
6741,3056,killed,kill,"In Rajouri district, a civilian was killed by unidentified terrorists at Kothyan.",IND,a civilian,civilian,person,civilian,,NA
121248,60644,kill,kill,Most of the time the Maoists kill civilians to settle scores and label them as Police informers to escape the ire of villagers.,IND,civilians to settle scores,civilians to settle scores,person,civilian,,NA
49185,27803,killed,kill,"Eleven security personnel and a civilian were killed and 13 others were injured when cadres of the Liberation Tigers of Tamil Eelam (LTTE) detonated a claymore mine at Vandaramoolai in the Batticaloa district, according to Daily News.",LKA,a civilian,civilian,person,civilian,,NA
41648,24484,injured,injur,"Separately, a civilian was injured in a grenade explosion in the Arasadi Kovil area of Batticaloa district on April 18.",LKA,a civilian,civilian,person,civilian,,NA
35645,21114,injured,injur,"Separately, a civilian, injured in a grenade explosion at Dalgate area on May 28 succumbed to her injuries on June 10.",IND,"a civilian ,",civilian,person,civilian,,NA
10206,5380,killed,kill,"In another incident, a civilian was abducted and killed by unidentified terrorists at Udhyanpur in Doda district.",IND,a civilian,civilian,person,civilian,,NA
7830,3601,killed,kill,"On the same day, unidentified terrorists killed a civilian at Santipur in Nalbari district.",IND,a civilian,civilian,person,civilian,,NA
33646,19973,wounded,wound,"In a separate attack, two Border Security Force (BSF) personnel are reported to have died and 12 civilians were wounded when terrorists lobbed a hand grenade targeting a BSF unit at Shah Faisal Colony in the Sopore area of Baramulla district.",IND,12 civilians,civilians,person,civilian,,NA
44082,25547,injured,injur,"Meanwhile, unidentified gunmen shot at and injured a civilian at Khoimoi in the Churachandpur district on July 18.;",IND,a civilian at Khoimoi,civilian,person,civilian,,NA
10832,5869,killed,kill,"In another incident, a civilian was killed by unidentified terrorists at Mishipora in Anantnag district.",IND,a civilian,civilian,person,civilian,,NA
8738,4051,arrested,arrest,"News reports also said that on July 27, a civilian was arrested for attempting to extort money from shopkeepers in Srinagar.",IND,a civilian for attempting to extort money from shopkeepers in Srinagar,civilian attempting to extort money shopkeepers,person,civilian,,NA
12325,7032,killed,kill,"Also, two civilians were killed by unidentified terrorists at Handwara, Kupwara and Gur-Chursoo in Pulwama district, on March 3.",IND,two civilians,civilians,person,civilian,,NA
53734,30035,injured,injur,Three civilians were injured in another bomb blast at Agiapara evening market in the Goalpara district.,IND,Three civilians,civilians,person,civilian,,NA
1449,695,injured,injur,"A grenade attack left eight civilians injured in Sirigufgwara, Anantnag district.",IND,eight civilians,civilians,person,civilian,,NA
36683,21669,wounded,wound,"Further, a civilian was shot at and wounded by terrorists in the Kulgam town of Anantnag district.",IND,a civilian,civilian,person,civilian,,NA
27215,16377,injured,injur,"In another incident, a civilian was shot at and injured by the Maoists in the Bagewa VDC area of Dhanusha district on February 29.",NPL,a civilian,civilian,person,civilian,,NA
2978,1356,killed,kill,"In another attack by terrorists in the same district, one civilian was killed at Machhipora.",IND,one civilian,civilian,person,civilian,,NA
47093,26868,abducted,abduct,"According to a delayed report, LTTE cadres abducted a civilian along with his tractor from the Eravur area of Batticaloa district.;",LKA,a civilian along with his tractor from the Eravur area of Batticaloa district,civilian his tractor area district,person,civilian,,NA
68709,36290,kidnapped,kidnap,"In another incident, unidentified assailants kidnapped two students of the Swat Public School hostel located at Rahimabad.",PAK,two students of the Swat Public School hostel located at Rahimabad,students swat public school hostel located,person,civilian,,NA
322,180,kidnapped,kidnap,The CIP-M activist was killed in Tulashikhar area in West Tripura district and his son was kidnapped by the militants.,IND,his son,his son,person,civilian,,NA
134246,66115,abducted,abduct,"Separately, unidentified motorcyclists abducted an 11-year-old son of Awami National Party (ANP) activist and former nazim (secretary) of Ismaila union council Fareed Khan advocate from his school van at gunpoint when he was on his way to school in Ismaila town of Mardan District on October 26, reports Dawn.",PAK,an 11-year-old son of Awami National Party ( ANP ) activist,year old son awami national party anp activist,person,civilian,,NA
1134,550,arrested,arrest,Several kilogrammes of explosives were recovered from the arrested person.,LKA,person,person,person,civilian,,NA
61,41,killed,kill,"However, human rights organisations and independent analysts put the number of people killed in insurgency related incidents at over 4,000.",NPL,people,people,person,civilian,,NA
71340,37497,injured,injur,"Meanwhile, an infant-boy was injured when LTTE militants opened fire on fleeing civilians in the Puthukkudiyiruppu area in the morning of March 19.",LKA,boy,boy,person,civilian,,NA
1163,564,arrested,arrest,A wireless set and some arms were recovered from the arrested civilian.,IND,civilian,civilian,person,civilian,,NA
1763,836,killed,kill,"In another incident, a woman was killed by terrorists in Bau Damhal-Hanjipora.",IND,a woman,woman,person,civilian,,NA
3590,1626,kidnapped,kidnap,They said that the kidnapped women would be released only after the community withdrew their decision to oppose the NLFT.,IND,women,women,person,civilian,,NA
2236,1048,abduct,abduct,"The government's Special Media Information Centre alleged on August 24 that the Liberation Tigers of Tamil Eelam (LTTE) continue to abduct civilians and stated that one such incident was reported on August 23, in Kanguweli village.",LKA,civilians,civilians,person,civilian,,NA
6091,2735,kidnapped,kidnap,"Separately, a joint team of the State police and Central Reserve Police Force (CRPF), on the look out for a kidnapped child, claimed to have busted a terrorist hideout at Bahbari-Jakhalipathar under Barpeta Road police station.",IND,child,child,person,civilian,,NA
88,56,killed,kill,"National Liberation Front of Tripura (NLFT) militants killed four persons and injured four others in Ramdulal Para, North Tripura district, on March 14.",IND,four persons,persons,person,civilian,,NA
16771,9857,killed,kill,"Later, the same terrorists attacked another house, approximately 50m away from the earlier house and killed a couple.",IND,a couple,couple,person,civilian,,NA
9647,4944,attacked,attack,"Meanwhile, a government employee was attacked and killed by unidentified terrorists at Shiva, Baramulla.",IND,a government employee,government employee,person,civilian,,NA
1368,660,injured,injur,"In yet another incident, seven persons were injured in a grenade attack.",IND,seven persons,persons,person,civilian,,NA
1639,778,abducted,abduct,Unidentified terrorists abducted three persons while security forces arrested three terrorists in separate incidents in Tripura on June 29.,IND,three persons,persons,person,civilian,,NA
450,238,killed,kill,"In Srinagar, militants killed one person alleged to be an informer of security forces on April 5. Militants killed another civilian in Palhallan, Baramullah district on April 4. The body of a BSF personnel was recovered in Srinagar.",IND,another civilian,civilian,person,civilian,,NA
7228,3301,torturing,tortur,"According to a senior police official, the terrorists had been harassing and torturing villagers by extorting money.",IND,villagers,villagers,person,civilian,,NA
1520,726,arrested,arrest,Some explosives and equipment were recovered from the two arrested persons.,IND,persons,persons,person,civilian,,NA
3376,1535,arrested,arrest,"The arrested woman is reported to be the regional chairperson of the All Nepal Women's Organization (Revolutionary), the women's wing of the Nepal Communist Party (Maoist).",NPL,woman,woman,person,civilian,,NA
109707,55850,kidnapped,kidnap,"Commenting on Punjab Chief Minister Shahbaz Sharif's protest against load shedding and his recent visit to his camp office at Minar-e-Pakistan, Malik said, <fc><be><8c><b3><a4><bc>You cannot get anything by travelling in buses Why haven't your Police recovered the kidnapped son of the late Governor?",PAK,son,son,person,civilian,,NA
191,115,injured,injur,"Two people, including the son of a local Communist leader, were killed and one person was injured while guerrillas in Tripura kidnapped a youth, on March 20.",IND,one person,person,person,civilian,,NA
370,205,killed,kill,Three militants were killed in separate encounters while four militant hide-outs were destroyed by security forces in different parts of the state on April 1 and 2. Militants also killed a civilian and abducted another.,IND,a civilian,civilian,person,civilian,,NA
39886,23238,arrested,arrest,Official sources said the arrested students would soon be deported and no police case of overstaying was lodged against them.,PAK,students,students,person,civilian,,NA
419,226,injured,injur,"An ULFA militant was killed and two civilians were injured in an encounter during the night between the extremist outfit and the Army in Guwahati, on April 3.",IND,two civilians,civilians,person,civilian,,NA
44048,25529,kidnapped,kidnap,"The death toll in the Maoist attack on a Salwa Judum camp at Errabore in Dantewada district rose to 33, with the retrieval of bodies of six kidnapped tribal youths in the wild growth on the roadside near Gaganpalli village on July 18.",IND,tribal youths,tribal youths,person,civilian,,NA
572,282,injured,injur,Four militants were killed and one civilian was injured.,IND,one civilian,civilian,person,civilian,,NA
125069,62247,beaten up,beaten up,"A senior Police officer, expressing concern about the recent stone pelting incidents in the areas that were not affected by 2010 unrest, said that one of the major concerns is that large number of tourist vehicles were damaged and tourists beaten up by stone pelters in Narbal and Mazhama (in Badgam District) and Kunzar areas (Baramulla District) along the Srinagar (Srinagar District) - Gulmarg (Baramulla District) road.",IND,tourists,tourists,person,civilian,,NA
1159,564,injured,injur,"Earlier, on May 20, five persons were injured in a grenade explosion which occurred at Nawakadal.",IND,five persons,persons,person,civilian,,NA
13464,7832,killed,kill,Delayed reports on April 23 said National Liberation Front of Tripura (NLFT) terrorists killed four tribals after abducting them.,IND,four tribals,tribals,person,civilian,,NA
11917,6707,killed,kill,"Earlier, on the evening of February 4, an activist of the Ikhawan-ul-Muslimeen, a counter-insurgency outfit, was killed and his associate injured when security forces fired on them, mistaking them to be terrorists.",IND,"an activist of the Ikhawan - ul - Muslimeen , a counter-insurgency outfit ,",activist ul muslimeen counter insurgency outfit,person,civilian,,NA
88643,45681,assaulted,assault,"Imphal Free Press reports that the chairman of the Village Chief Association of Sadar Hill and his accomplice, who were abducted from Leimakhong bazaar area in Senapati District on August 25, were assaulted.",IND,"the chairman of the Village Chief Association of Sadar Hill and his accomplice , who were abducted from Leimakhong bazaar area in Senapati District on August 25 ,",chairman village chief association sadar hill and his accomplice who were abducted bazaar area august,person,civilian,,NA
31867,18979,tortured,tortur,"In another incident, unidentified terrorists reportedly tortured a 60 year old Lambardar (village headman) to death at Upper Pangai in Shahdara Sharief area of Rajouri district after keeping him in custody for more than a week.",IND,a 60 year old Lambardar ( village headman ) to death at Upper Pangai in Shahdara Sharief area of Rajouri district,year old lambardar village headman to death shahdara sharief area rajouri district,person,civilian,,NA
6386,2878,injured,injur,"Meanwhile, according to media reports, in a recent clash between the Jamatiya Hoda and the terrorists of NLFT, seven persons were killed and many others including the Hoda leader Nayanbashi Jamatiya injured at Nepalpunji in Bangladesh.",IND,many others including the Hoda leader Nayanbashi Jamatiya,many others including hoda leader nayanbashi jamatiya,person,civilian,,NA
112941,57128,arrested,arrest,"On August 11, SFs raided the hideout of Dimasa National Revolutionary Front (DNRF) in Haflong in Dima Hasao District and arrested DNRF leader Dhananjoy Kemprai.",IND,DNRF leader Dhananjoy Kemprai,dnrf leader dhananjoy kemprai,person,civilian,,NA
37835,22258,killed,kill,"On September 25, the National Liberation Front of Tripura (NLFT) killed eight non-tribal villagers, including four women and two children, and injured three others at Debnath Para in the West Tripura district.",IND,"eight non- tribal villagers , including four women and two children",non tribal villagers including women and children,person,civilian,,NA
22968,13559,abducted,abduct,"National Liberation Front of Tripura (NLFT) terrorists abducted three non-tribal youths from Maracherra in Tripura's Dhalai district, on May 26.",IND,three non- tribal youths from Maracherra in Tripura 's Dhalai district,non tribal youths district,person,civilian,,NA
36214,21428,arrested,arrest,"Meanwhile, three more activists of the TNLA were arrested from a village near Chidambaram on July 11.",IND,three more activists of the TNLA from a village near Chidambaram,more activists tnla village,person,civilian,,NA
79961,41675,arrested,arrest,"Further, the Imphal East District Police arrested deputy chief of Uyumpok Gram Panchayat Kshetrimayum Brojen (38).",IND,deputy chief of Uyumpok Gram Panchayat Kshetrimayum Brojen,deputy chief,person,civilian,,NA
52383,29325,arrested,arrest,"The interrogation of Dandakaranya Divisional Committee chief Satyam Reddy alias Gopanna, who was arrested in May [from the Gariyaband area of Raipur district] has revealed that the extremists are now planning to spread their roots in these districts,"" Paswan added.",IND,Dandakaranya Divisional Committee chief Satyam Reddy alias Gopanna who,dandakaranya divisional committee chief satyam reddy alias gopanna who,person,civilian,,NA
77226,40340,shot,shot,"In another incident, a Village Defence Committee (VDC) member, Ashok Kumar, was shot at and seriously injured by the militants in his house at Thiloo in the Reasi District.",IND,"a Village Defence Committee ( VDC ) member , Ashok Kumar ,",village defence committee vdc member ashok kumar,person,civilian,,NA
65739,35023,arrested,arrest,"Deputy Superintendent of Police (Headquarters) Hazaribagh, Naushad Alam said Binod Mahto alias Deepak of Simaria in Chatra district and Sandeep Paswan of Keredari of Hazaribagh district were arrested following a raid on their hideouts.",IND,Binod Mahto alias Deepak of Simaria in Chatra district and Sandeep Paswan of Keredari of Hazaribagh district,binod mahto alias deepak simaria district and sandeep paswan,person,civilian,,NA
59840,32645,abducted,abduct,"Nath told police that two youths abducted him from his official quarters at Dhaligaon in the Chirang district on January 21, and was kept in an abandoned house in Borapani reserve forest under Hamren subdivision of Karbi Anglong district.",IND,him from his official quarters at Dhaligaon in the Chirang district,him his official quarters district,person,civilian,,NA
39520,23064,arrested,arrest,One of the outfit's <fc><be><8c><93><a4><bc>lieutenants' was also arrested.,IND,One of the outfit 's < fc > < be > < 8c > < 93 > < a4 > < bc > lieutenants ',outfit fc be bc lieutenants,person,civilian,,NA
35501,21036,surrendered,surrend,"On June 1, three United Liberation Front of Asom (ULFA) terrorists surrendered to the Army authorities at Panbari in the Dhubri district.",IND,to the Army authorities at Panbari in the Dhubri district,to army authorities district,person,civilian,,NA
91763,47230,arrested,arrest,"Meanwhile, a combined team of the Imphal West District and Thoubal District Police seized a huge cache of concealed arms and ammunition belonging to the People's Liberation Army (PLA) and arrested an over ground worker of the outfit from Wabagai Yangbi area of Thoubal District.",IND,an over ground worker of the outfit from Wabagai Yangbi area of Thoubal District,ground worker outfit area,person,civilian,,NA
23603,14016,killed,kill,"Left-wing extremists<fc><be><8d><b3><a4><bc>Naxalites<fc><be><8d><b3><a4><bc>of the Maoist Communist Centre (MCC) killed two former comrades in Saniya Donbagh village under the Raidih police station-limits, Gumla district, on June 30.",IND,two former comrades,former comrades,person,civilian,,NA
52738,29538,arrested,arrest,"Separately, police arrested a courier of the Praja Prathighatana outfit, identified as Bandaru Bhadraiah alias Bhaskar, in Warangal on an unspecified date.",IND,"a courier of the Praja Prathighatana outfit , identified as Bandaru Bhadraiah alias Bhaskar , in Warangal on an unspecified date",courier outfit identified bandaru bhadraiah alias bhaskar unspecified date,person,civilian,,NA
41104,24157,wounded,wound,"Three civilians, Manmohan Tripura, Ranjan Mala Tripura and Dhani Mohan Tripura, were wounded in a grenade blast triggered by suspected militants at Kiran Shankar Choudhury para under Gandacherra police station in the West Tripura district on an unspecified date, according to Tripurainfo.",IND,"Three civilians , Manmohan Tripura , Ranjan Mala Tripura and Dhani Mohan Tripura ,",civilians ranjan mala and,person,civilian,,NA
85702,44384,arrested,arrest,"''After a secret tip-off, we arrested Sukhdev late Tuesday night from the border of Khalkian and Rattangarh villages.",IND,Sukhdev from the border of Khalkian and Rattangarh villages,sukhdev border and villages,person,civilian,,NA
124166,61872,abducted,abduct,"Meanwhile, armed suspected militants abducted a young engineer of a private construction firm engaged by Power Grid Corporation of India from Betagaon in Baksa District of lower Assam in the night of February 15.",IND,a young engineer of a private construction firm engaged by Power Grid Corporation of India from Betagaon in Baksa District of lower Assam,young engineer private construction firm engaged power grid corporation india district lower,person,civilian,,NA
101004,51924,kill,kill,They have also threatened to kill Mukul and my party leader Srikanta Mahato.,IND,Mukul and my party leader Srikanta Mahato,mukul and my party leader srikanta mahato,person,civilian,,NA
43471,25309,abducted,abduct,"Suspected terrorists abducted an activist of the National Conference, Aziz Mir, from the Bandipore area of Baramulla district.",IND,"an activist of the National Conference , Aziz Mir , from the Bandipore area of Baramulla district",activist national conference aziz mir area district,person,civilian,,NA
104134,53379,arrested,arrest,"Tripura Info reports that Security Forces (SFs) arrested four tribal youths, carrying arms and suspected to be involved in insurgent activity, from remote Balucherra area under Ganga Nagar Police Station of Dhalai District on January 4. SFs recovered three country-made gun, six lethal weapons, some gunpowder and few iron metal pieces from their possession.",IND,four tribal youths,tribal youths,person,civilian,,NA
49961,28213,gunned down,gunned down,"In a gunfight troops of 32 Assam Rifles, along with a team of Imphal East police commandos gunned down a People's Revolutionary Party of Kangleipak (PREPAK) militant at Iroisemba in the Imphal West district on March 13.",IND,a People 's Revolutionary Party of Kangleipak,people revolutionary party kangleipak,person,civilian,,NA
111387,56521,arrest,arrest,According sources confirmed that raids are still on in parts of Bihar and Hyderabad to arrest a couple of the most wanted IM men who doubled up as LeT agents.,IND,a couple of the most wanted IM men who doubled up as LeT agents,couple most wanted im men who doubled up let agents,person,civilian,,NA
57630,31748,arrested,arrest,"The duo, identified as Khalid Mohammed and Tariq, alleged to be involved in the recent serial blasts in the State, were arrested along with 1.25-kg of RDX and some gelatin sticks.",IND,"The duo , identified as Khalid Mohammed and Tariq , alleged to be involved in the recent serial blasts in the State , along with 1.25-kg of RDX and some gelatin sticks",duo identified khalid mohammed and tariq alleged to be involved recent serial blasts state kg rdx gelatin sticks,person,civilian,,NA
21126,12284,arrested,arrest,"Iqbal was arrested on charges of conspiracy to murder customs informer Ravindra Babulal Singh on September 21, 1998.",IND,Iqbal on charges of conspiracy to murder customs informer Ravindra Babulal Singh,iqbal charges conspiracy to murder customs informer ravindra babulal singh,person,civilian,,NA
18811,10931,killed,kill,Terrorists killed an employee of the central jail Srinagar at Dadrsara.,IND,an employee of the central jail Srinagar,employee central jail,person,civilian,,NA
128051,63521,killed,kill,"Meanwhile, a live Chinese grenade and several China-made bullets were recovered, embedded in trees, during search and counter-insurgency operation near Jheerum Ghati in Darbha area of the same District, where 28 people, including three senior Congress leaders, were killed in the May 25 ambush, reports The Times of India.",IND,"28 people , including three senior Congress leaders ,",people including senior congress leaders,person,civilian,,NA
26461,15961,surrendered,surrend,"Shrestha, so far, is the senior most Maoist cadre to have surrendered to the Government.",NPL,to the Government,to government,person,civilian,,NA
56645,31363,abducted,abduct,"Meanwhile, suspected Bru militants abducted a forest department official, Narayan Nandi, from the Ramnathpur area of Hailakandi district, reports Shillong Times.",IND,"a forest department official , Narayan Nandi , from the Ramnathpur area of Hailakandi district",forest department official narayan nandi area district,person,civilian,,NA
46620,26636,arrested,arrest,"Elsewhere, two ULFA linkmen, Kabindra Sonowal and Arup Bora, were arrested from Jokhai area in the outskirts of Dibrugarh town on October 17-night, reports Sentinel.",IND,"two ULFA linkmen , Kabindra Sonowal and Arup Bora , from Jokhai area",ulfa linkmen kabindra sonowal and arup bora area,person,civilian,,NA
1142,555,killed,kill,"In an other incident, three militants, suspected to be part of the Fidayeen (suicide squad) of the Lashkar-e-Toiba were killed in Sunderbani, Rajouri district.",IND,Toiba,toiba,person,civilian,,NA
6859,3108,killed,kill,"In a separate incident, on the same day, an activist of the Samajwadi Party (SP) was killed as unidentified terrorists in Rangiya attacked a vehicle belonging to a SP candidate in the ensuing State Assembly polls.",IND,an activist of the Samajwadi Party ( SP ),activist samajwadi party sp,person,civilian,,NA
67851,35892,arrested,arrest,"Meanwhile, Assam Police arrested a person, Nikhil Rai, from his residence at Bangiamari village in the Dhubri district for his suspected links with the United Liberation Front of Asom (ULFA).",IND,"a person , Nikhil Rai , from his residence at Bangiamari village in the Dhubri district for his suspected links with the United Liberation Front of Asom ( ULFA )",person nikhil rai his residence village district suspected links united liberation front asom ulfa,person,civilian,,NA
120866,60463,arrested,arrest,"Security Forces (SFs) on November 22 killed a top Karbi People's Liberation Tigers (KPLT) militant, identified as Amphu Terang, and arrested two others, including the outfit's <fc><be><8c><93><a4><bc>finance secretary' Rana Hisang and Aro Killing, at Gobar Pathar Kro Village under Dokmoka Police Station in Karbi Anglong District, reports The Telegraph.",IND,"two others , including the outfit 's < fc > < be > < 8c > < 93 > < a4 > < bc > finance secretary ' Rana Hisang and Aro Killing ,",others including outfit fc be bc finance secretary rana hisang and aro killing,person,civilian,,NA
126381,62798,arrested,arrest,Roy was arrested in connection with alleged extortion in north Bengal and lower Assam Districts.,IND,Roy in connection with alleged extortion in north Bengal and lower Assam Districts,roy connection alleged extortion north and lower,person,civilian,,NA
98406,50708,arrested,arrest,The FIR was lodged against Mohammad Riyazul Sarkar alias Akash Khan and Mohammad Mahtab Alam who were arrested from Kishanganj District of Bihar on July17.,IND,Mohammad Mahtab Alam who from Kishanganj District of Bihar on July17,mohammad mahtab alam who july,person,civilian,,NA
41223,24207,wounded,wound,"Further, unidentified terrorists shot at and wounded a village head, identified as Ali Mohammed Bhat, at Lamar Qazigund in the Anantnag district.",IND,"a village head , identified as Ali Mohammed Bhat , at Lamar Qazigund in the Anantnag district",village head identified ali mohammed bhat district,person,civilian,,NA
27146,16331,killed,kill,"In another incident, unidentified terrorists are reported to have abducted and later killed a former counter-insurgent, identified as Bashir Ahmed Kasana, in the Kokernag area of Anantnag district.",IND,"a former counter - insurgent , identified as Bashir Ahmed Kasana , in the Kokernag area of Anantnag district",former counter insurgent identified bashir ahmed kasana area district,person,civilian,,NA
